accident_index,longitude,latitude,cluster
2020160914781,-0.331047,53.747751,3
2020160914930,-0.393424,53.744936,3
2020160915008,-0.528743,53.512895,4
2020160915028,-0.324858,53.79163,3
2020160915041,-0.095008,53.574501,5
2020160915047,-0.327733,53.767805,3
2020160915311,-0.078215,53.553782,5
2020160915332,-0.309102,53.75041,3
2020160915337,-0.335481,53.77754,3
2020160915489,-0.832277,53.609396,4
2020160915561,-0.335628,53.859763,3
2020160915568,-0.446641,54.026447,2
2020160915590,-0.106136,53.548896,5
2020160916018,-0.233784,53.722959,3
2020160916437,-0.400675,53.761627,3
2020160916464,-0.361446,53.743289,3
2020160916588,-0.68438,53.584418,4
2020160916619,-0.395782,53.735969,3
2020160916644,-0.339578,53.603539,3
2020160916840,-0.889533,53.704348,1
2020160916924,-0.448924,53.683156,3
2020160917047,-0.100085,53.541105,5
2020160917084,-0.43221,54.039967,2
2020160917097,-0.09145,53.569321,5
2020160917102,-0.099618,53.568363,5
2020160917446,-0.288715,53.861674,3
2020160917479,-0.387396,53.743551,3
2020160917506,-0.721688,53.57604,4
2020160917524,-0.116111,53.580553,5
2020160917529,-0.837922,53.932848,1
2020160917546,-0.034582,53.552264,5
2020160917561,-0.364669,53.700887,3
2020160917563,-0.367902,53.695609,3
2020160917567,-0.01368,53.54666,5
2020160917650,-0.091662,53.557898,5
2020160917819,-0.475046,53.759755,3
2020160917908,-0.344794,53.768032,3
2020160917927,-0.327287,53.767951,3
2020160917936,-0.832815,53.690712,1
2020160917938,-0.346067,53.761497,3
2020160917943,-0.324394,53.807867,3
2020160917957,-0.661,53.588105,4
2020160917993,-0.274585,53.751842,3
2020160918084,-0.31659,53.76417,3
2020160918102,-0.542129,53.539442,4
2020160918137,0.023263,53.730483,5
2020160918170,-0.194271,54.091148,2
2020160918206,-0.162525,53.717887,5
2020160918268,-0.066176,53.56985,5
2020160918269,-0.598677,53.762055,4
2020160918273,-0.051238,53.555422,5
2020160918296,-0.294842,53.754622,3
2020160918418,-0.400627,53.74452,3
2020160918462,-0.612097,53.456973,4
2020160918474,-0.731782,53.753398,1
2020160918593,-0.639736,53.569986,4
2020160918618,-0.303672,53.774892,3
2020160918731,-0.057476,53.534928,5
2020160918773,-0.641537,53.65471,4
2020160918801,-0.264169,53.776403,3
2020160918953,-0.394035,53.746409,3
2020160919666,-0.377269,53.743882,3
2020160919739,-0.577988,53.646016,4
2020160920021,-0.410532,53.753695,3
2020160920119,-0.055314,53.5617,5
2020160920236,-0.363477,53.743308,3
2020160920484,-0.333871,53.772969,3
2020160920648,-0.424148,53.844985,3
2020160920663,-0.373176,53.743845,3
2020160920669,-0.652805,53.579752,4
2020160920672,-0.341185,53.783372,3
2020160920674,-0.274591,53.762422,3
2020160920714,-0.064763,53.574996,5
2020160920950,-0.211803,54.143923,2
2020160920990,-0.067683,53.533781,5
2020160921054,-0.356452,53.736794,3
2020160921089,-0.339953,53.748432,3
2020160921227,-0.359996,53.585212,3
2020160921269,-0.09569,53.552272,5
2020160921325,-0.182158,54.09751,2
2020160921543,-0.323045,53.785717,3
2020160921572,-0.364282,53.775284,3
2020160921603,-0.429852,53.719177,3
2020160921768,-0.342235,53.767889,3
2020160921781,-0.616905,53.568996,4
2020160921787,-0.303453,53.76038,3
2020160921814,-0.139236,53.732208,5
2020160921885,-0.196679,54.090978,2
2020160921952,-0.39951,53.756371,3
2020160922060,-0.644842,53.584588,4
2020160922085,-0.342665,53.777783,3
2020160922186,-0.344244,53.794362,3
2020160922266,-0.330975,53.74766,3
2020160922273,-0.076309,53.561527,5
2020160922288,-0.324792,53.74832,3
2020160922305,-0.327089,53.767984,3
2020160922661,-0.436301,53.842339,3
2020160922679,-0.421446,53.734034,3
2020160922688,-0.284942,53.765294,3
2020160922713,-0.457082,53.929864,3
2020160922715,-0.373463,53.752496,3
2020160922744,-0.706542,53.555167,4
2020160922750,-0.479137,53.855636,3
